forename,surname,email,gender_id,role_id,date_of_birth,qualification
John,Doe,john.doe@example.com,1,1,1980-01-01,MD
Jane,Smith,jane.smith@example.com,2,1,1985-02-02,RN
Alex,Taylor,alex.taylor@example.com,3,2,1990-03-03,PT
Emily,Johnson,emily.johnson@example.com,2,1,1987-04-04,MD
Michael,Brown,michael.brown@example.com,1,2,1979-05-05,DO
Sarah,Davis,sarah.davis@example.com,2,3,1992-06-06,NP
David,Wilson,david.wilson@example.com,1,1,1983-07-07,MD
Laura,Moore,laura.moore@example.com,2,2,1988-08-08,PA
James,Anderson,james.anderson@example.com,1,3,1981-09-09,PT
Sophia,Thomas,sophia.thomas@example.com,2,1,1993-10-10,RN
